category,title,content
wisata,Pantai Pasir Putih Lumban Bul-bul Balige,"
Nama Tempat : Pantai Pasir Putih Lumban Bul-bul Balige

Kategori : Wisata Alam

Rating : 4,3

Alamat : 83XF+9VQ, Lumban Bulbul, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 07.00 - 21.30

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Bukit Pahoda,"
Nama Tempat : Bukit Pahoda

Kategori : Wisata Alam

Rating : 4,6

Alamat : 82XR+J4W, Lumban Silintong, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 05.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Desa Wisata Silalahi Pagar Batu,"
Nama Tempat : Desa Wisata Silalahi Pagar Batu

Kategori : Wisata Alam

Rating : 5,0

Alamat : Jl. Dr. TB. Silalahi, Hinalang Bagasan, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 09.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Air Terjun Siboruon Balige,"
Nama Tempat : Air Terjun Siboruon Balige

Kategori : Wisata Alam

Rating : 4,7

Alamat : 73QM+VH2, Siboruon, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 08.00 - 17.00

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Puncak Paralayang Sibodiala,"
Nama Tempat : Puncak Paralayang Sibodiala

Kategori : Wisata Alam

Rating : 4,7

Alamat : 828R+Q2, Silalahi Pagar Batu, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 05.00 - 21.00

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Pantai Pelangi,"
Nama Tempat : Pantai Pelangi

Kategori : Wisata Alam

Rating : 4,6

Alamat : 934X+C47 Pantai pelangi, Lumban Pea, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 07.00 - 21.30

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Penatapan Meat Balige,"
Nama Tempat : Penatapan Meat Balige

Kategori : Wisata Alam

Rating : 4,6

Alamat : 82P4+W4H, Jl. Raya Meat, Meat, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Tambunan Sunset Beach,"
Nama Tempat : Tambunan Sunset Beach

Kategori : Wisata Alam

Rating : 4,4

Alamat : Lumban Gaol, Kec. Balige, Toba, Sumatera Utara

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
wisata,Wisata Bukit Gibeon,"
Nama Tempat : Wisata Bukit Gibeon

Kategori : Wisata Alam

Rating : 4,5

Alamat : HXRX+84Q, UnSionggang Utara, Kec. Lumban Julu, Toba, Sumatera Utara 21174

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Wisata Puncak Pangkodian,"
Nama Tempat : Wisata Puncak Pangkodian

Kategori : Wisata Alam

Rating : 4,4

Alamat : 82R5+CFX, Jl. Pangkodian, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Bukit Tara Bunga,"
Nama Tempat : Bukit Tara Bunga

Kategori : Wisata Alam

Rating : 4,5

Alamat : 82V8+RW6, Lintong Nihuta, Kec. Tampahan, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : 5.000 - 10.000

Status : beroperasi
"
wisata,Air Terjun Sampuran,"
Nama Tempat : Air Terjun Sampuran

Kategori : Wisata Alam

Rating : 4,3

Alamat : 74GV+3G3, Huta Namora, Kec. Balige, Toba, Sumatera Utara 22312

Jam Operasional : 24 jam

Harga Tiket : Gratis

Status : beroperasi
"
