No,Nama Kabupaten,Nama Atraksi,Detail
1.0,TOBA,"Paralayang Puncak Sibodiala, Balige","Spot paralayang Puncak Sibodiala, Balige dibuka tahun 2024., sekitar 15 menit dari pusat kota Balige dan harus mendaki bukit Sibodiala yang punya ketinggian 800 meter dpl untuk sampai dipuncaknya.
 Puncak Sibodiala memiliki pemandangan yang memukau mulai dari hutan pinus, deretan perbukitan, perkampungan dan perkebunan warga
 hingga pemandangan danau toba yang sangat luas.
 Selain itu tak jauh dari sana ada Batu Basiha yang menampilkan tumpukan bebatuan sisa ledakan vulkanis danau toba sekitar 74.000 tahun lalu.
 Dan dari puncak itu, kamu bisa melakukan aktivitas paralayang dengan biaya hanya Rp. 550rb (sudah termasuk asuransi kecelakaan)."
2.0,,Juma Bulu River Side Ajibata,"Riverside Juma Bulu memiliki keindahan alam dan udara yang sejuk dikelilingi persawahan serta menyediakan aktivitas tourism yaitu River Tubing.
 Bagi wisatawan yang ingin menginap dengan nuansa alam, River Side Juma Bulu juga menyediakan tempat camping di Desa Pardomuan Ajibata juga terdapat aktivitas Trecking ke Air Terjun Batu Papan.
 
 Sumber : https://wisata.tobakab.go.id/destinasi-wisata/"
3.0,,Kano,"Permainan kano adalah aktivitas rekreasi atau olahraga air yang menggunakan perahu kecil ringan bernama kano, yang digerakkan dengan dayung.
 Olahraga air ini bisa kamu nikmati di pantai Bulbul Balige dengan maksimal dua orang."
4.0,SIMALUNGUN,Bukit Indah Simarjarunjung,"Dari puncak bukit, pengunjung bisa menikmati panorama Danau Toba yang menakjubkan.
 Selain menikmati pemandangan Danau Toba yang memukau dari Bukit Indah Simarjarunjung, pengunjung bisa berfoto di berbagai spot yang sudah tersedia.
 Spot-spot foto ini antara lain rumah pohon, sepeda gantung, kursi dan meja melayang, pohon cinta sampai dengan gardu pandang."
5.0,,Flyboard di Parapat,"Flyboard adalah wahana air terbaru yang tersedia di Danau Toba, memungkinkan pengguna untuk melayang di atas air dengan bantuan jet air bertekanan tinggi. Wahana ini merupakan atraksi yang sedang populer di kalangan wisatawan"
6.0,,ATV di Kebun Teh Sidamanik,"Pengelola wisata Kebun Teh Sidamanik, Kecamatan Sidamanik, Kabupaten Simalungun kini menyeediakan motor ATV (All Terrain Vehicle) untuk hiburan bagi pengunjung. ATV digunakan berkeliling kebun sambil menikmati pemandangan indah teh dan hembusan udara sejuk."
7.0,KARO,Kuliki Paralayang di Tongging,"Kuliki Paralayang Karo, berada di desa Tongging merupakan wisata olahraga terbang bebas yang menggunakan parasut dengan memanfaatkan angin serta lepas landas dengan kaki."
8.0,,Canyoneering di Air Terjun Sikulikap,"Canyoneering (atau canyoning) adalah aktivitas petualangan alam yang menggabungkan beberapa teknik seperti:
 Trekking (menjelajah jalur berbatu atau terjal), Rappelling (turun tebing dengan tali), Climbing (memanjat batu atau dinding lembah), Jumping (melompat ke kolam alami dari tebing atau batu), Sliding (meluncur di aliran air), dan swimming (berenang di sungai atau kolam alami).
 Canyoneering di Air Terjun Sikulikap cocok untuk pemula-menengah; ada rappelling dan lompatan."
9.0,,Berkuda di Gundaling,"Berkuda di Gundaling, Berastagi adalah salah satu aktivitas wisata yang populer.
 Pengunjung dapat menikmati pemandangan alam Bukit Gundaling sambil menunggang kuda, baik sendiri maupun dengan delman.
 Rute berkuda biasanya dari atas bukit hingga ke Pasar Buah Berastagi."
10.0,TAPANULI UTARA,"Pacuan Kuda Hoda Marsiadu Siborong-borong
 Olahraga Tradisional Batak","Pacuan kuda Hoda Marsiadu Siborong-borong dilaksanakan dalam suasana perayaan yang meriah, sering kali terkait dengan perayaan hari besar keagamaan atau festival budaya untuk acara ini melibatkan persiapan fisik dan mental yang matang bagi kuda dan pembawa kuda (joki), serta dilakukan upacara adat seperti doa bersama dan ritual keagamaan untuk memohon keselamatan dan keberkahan selama perlombaan berlangsung nilai-nilai budaya yang dalam, pacuan kuda ini juga memiliki peraturan dan tata tertib yang ketat untuk menjaga keselamatan dan keamanan selama acara berlangsung."
11.0,,Paralayang Huta Ginjang,"Puncak Huta Ginjang di Kecamatan Muara, Tapanuli Utara, Sumut, adalah surga paralayang di Sumatera.
 Objek yang berada di kawasan Geosite Kaldera Toba, merupakan salah satu yang terbaik di Indonesia.
 Jarak tempuh dari puncak Huta Ginjang ke tepian Danau Toba sekitar tiga kilometer."
12.0,SAMOSIR,Waterfront,"Waterfront City Pangururan adalah nama dari destinasi wisata yang untuk pertama kalinya berfokus pada pembangunan dan pemanfaatan air danau Toba.
 Ketika pertunjukan sudah dimulai kita akan disuguhkan pemandangan betapa indahnya air mancur yang berwarna-warni menari-nari di atas luasnya danau Toba, yang juga diiringi dengan musik. Lalu ada juga pertunjukkan kisah terbentuknya danau Toba yang dipertunjukkan melalui pantulan proyektor, setiap sesi dan suasana saat kisah dimulai warna dan gerakan air terjun juga disesuaikan sehingga setiap penonton akan terbuai dan terbawa dalam suasana yang dikisahkan."
13.0,,Sigale-gale,"Sigale-gale adalah boneka kayu unik dari Desa Tomok di Pulau Samosir yang berada di tengah Danau Toba di Sumatra Utara.
 Boneka kayu bercat cokelat itu menjadi bagian penting dari pertunjukan rakyat di Tomok.
 Sigale-gale berasal dari kata gale yang dalam bahasa Batak Toba artinya adalah lemah gemulai. Agar mampu berdiri tegak, sigale-gale diletakkan pada sebuah podium kayu persegi panjang."
14.0,,Kampung Ulos Hutaraja,Wisatawan bisa bereksplorasi lebih dalam mengenai kain ulos di Kampung Ulos Huta Raja mulai dari proses produksi kain hingga suasana kampung Ulos yang kental khas budaya Batak. Kampung ini bahkan dianggap sebagai salah satu desa wisata terbaik di wilayah Destinasi Pariwisata Super Prioritas (DSP) Danau Toba.
